                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5731,                 1.2265,                 1.6346,                0.69072,                0.41738,                0.39773,                0.19038,                  1.477,                 1.3287,                 1.7623,              0.0007489,              0.0007489,              0.0007489
                     35,                 1.5129,                 1.2443,                 1.7104,                0.70287,                0.39815,                0.41868,                0.20143,                 1.4234,                 1.3072,                 1.6981,             0.00076475,             0.00076475,             0.00076475
                     36,                 1.5776,                 1.3483,                 1.7503,                0.65337,                0.46736,                0.41479,                0.20679,                 1.3971,                 1.2607,                 1.6569,             0.00078022,             0.00078022,             0.00078022
                     37,                 1.5036,                 1.2072,                 1.6925,                0.67101,                0.48454,                0.43974,                0.20962,                 1.4051,                 1.2729,                 1.6715,             0.00079531,             0.00079531,             0.00079531
                     38,                 1.4818,                 1.2202,                 1.7236,                0.67523,                0.49268,                0.41722,                0.21317,                 1.4077,                 1.2515,                  1.676,             0.00081003,             0.00081003,             0.00081003
                     39,                 1.6729,                 1.8112,                 1.9227,                0.66365,                0.44892,                 0.3732,                0.18051,                 1.5052,                 1.2895,                 1.7909,             0.00082437,             0.00082437,             0.00082437
                     40,                 1.4087,                 1.1874,                  1.729,                0.67402,                0.45118,                 0.4056,                0.19155,                 1.4157,                 1.2141,                 1.6846,             0.00083833,             0.00083833,             0.00083833
                     41,                 1.4547,                 1.2612,                 1.7259,                0.67616,                0.44139,                0.42643,                0.20003,                 1.4166,                 1.2092,                 1.6732,             0.00085191,             0.00085191,             0.00085191
                     42,                 1.4766,                 1.0627,                 1.6489,                0.65119,                0.49677,                0.44518,                0.21039,                 1.4114,                 1.2157,                 1.6783,             0.00086512,             0.00086512,             0.00086512
                     43,                 1.6139,                 1.2993,                  1.997,                0.68816,                0.42757,                0.41344,                0.19178,                 1.4002,                 1.1622,                 1.6569,             0.00087795,             0.00087795,             0.00087795
                     44,                 1.4525,                 1.1456,                 1.5456,                 0.7545,                0.42581,                0.45961,                0.21266,                 1.3904,                 1.1374,                 1.6523,              0.0008904,              0.0008904,              0.0008904
