                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7265,                 4.0506,                 2.2959,                0.01535,                0.20499,                0.01456,                0.00474,                 2.5708,                 3.4818,                  2.303,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                 2.6546,                 3.7581,                 2.2929,                0.02268,                0.30469,                0.02673,                0.00903,                 2.3841,                 3.2583,                 2.1645,              9.904e-05,              9.904e-05,              9.904e-05
                      3,                 2.5958,                 3.4928,                 2.1773,                0.37337,                0.16839,                 0.0459,                 0.0172,                   2.15,                  2.563,                 1.8825,             0.00015408,             0.00015408,             0.00015408
                      4,                 2.2777,                 2.9745,                 1.9107,                0.74778,                0.13509,                   0.08,                0.02989,                 1.9977,                 2.0556,                 1.6824,             0.00020798,             0.00020798,             0.00020798
                      5,                 2.1708,                 2.4074,                 1.8036,                0.75185,                0.16243,                0.09127,                0.03372,                 1.9538,                 2.4278,                 1.6443,             0.00026076,             0.00026076,             0.00026076
                      6,                 2.1198,                 2.1961,                  1.762,                0.76982,                0.19133,                0.13754,                0.05253,                 1.9012,                 2.9228,                 1.6383,              0.0003124,              0.0003124,              0.0003124
                      7,                 2.0504,                 1.9159,                 1.8238,                0.52906,                0.27643,                 0.1875,                0.07654,                 1.7963,                 2.7092,                  1.598,             0.00036291,             0.00036291,             0.00036291
                      8,                 1.9817,                 1.8508,                 1.6434,                0.84307,                0.21709,                0.23508,                0.09875,                 1.7391,                 2.0807,                 1.5794,             0.00041229,             0.00041229,             0.00041229
                      9,                 1.9928,                 1.9804,                  1.674,                0.85526,                0.21426,                0.26066,                0.11556,                 1.7009,                  1.672,                 1.5894,             0.00046054,             0.00046054,             0.00046054
                     10,                 1.8328,                 1.6567,                 1.6201,                0.61558,                 0.2956,                0.25349,                0.11716,                 1.7148,                 1.5815,                 1.6443,             0.00050765,             0.00050765,             0.00050765
                     11,                 1.8376,                 1.6822,                  1.671,                0.61089,                0.33433,                0.27741,                0.12336,                 1.7025,                 1.6901,                 1.6977,             0.00055364,             0.00055364,             0.00055364
                     12,                 1.7644,                  1.476,                  1.689,                0.65081,                0.38718,                0.32921,                0.14916,                 1.5948,                 1.6996,                 1.6519,             0.00059849,             0.00059849,             0.00059849
                     13,                 1.7009,                  1.349,                 1.6193,                0.67268,                0.39496,                0.31948,                0.13949,                 1.5485,                 1.8408,                 1.6813,             0.00064221,             0.00064221,             0.00064221
                     14,                 1.6431,                 1.3405,                 1.6564,                0.63042,                0.44248,                0.32008,                0.13758,                 1.5439,                 2.0265,                 1.7385,              0.0006848,              0.0006848,              0.0006848
                     15,                 1.6957,                 1.4001,                 1.7248,                0.60215,                0.47435,                0.35679,                0.14985,                 1.5122,                 2.0454,                 1.7325,             0.00072625,             0.00072625,             0.00072625
                     16,                 1.6279,                 1.3399,                 1.7213,                0.63274,                0.38673,                0.35007,                0.15127,                 1.4965,                 1.8858,                 1.6984,             0.00076658,             0.00076658,             0.00076658
                     17,                 1.6005,                 1.3582,                 1.6955,                0.63701,                0.35021,                0.32061,                0.14885,                 1.5044,                  1.716,                 1.6974,             0.00080577,             0.00080577,             0.00080577
                     18,                 1.6363,                 1.3156,                 1.6836,                0.60092,                0.45123,                0.32684,                0.15008,                 1.4803,                 1.5711,                 1.6509,             0.00084383,             0.00084383,             0.00084383
                     19,                 1.6477,                 1.2319,                 1.6262,                0.62047,                0.42876,                0.34227,                0.15796,                 1.4975,                 1.5686,                 1.6575,             0.00088076,             0.00088076,             0.00088076
                     20,                 1.6256,                 1.3415,                 1.6927,                0.60889,                  0.473,                 0.3484,                0.15981,                 1.5007,                 1.5252,                 1.6593,             0.00091656,             0.00091656,             0.00091656
                     21,                 1.6854,                 1.2952,                 1.6942,                0.61485,                0.44788,                0.37889,                0.16848,                 1.5427,                 1.4577,                 1.6882,             0.00095123,             0.00095123,             0.00095123
                     22,                 1.7071,                 1.3378,                 1.7741,                0.63234,                0.40958,                0.38002,                0.17721,                 1.4813,                 1.3627,                 1.6206,             0.00098476,             0.00098476,             0.00098476
                     23,                 1.6409,                 1.3208,                 1.7491,                0.67017,                0.41219,                0.38646,                0.17741,                 1.4812,                 1.3099,                  1.612,              0.0010172,              0.0010172,              0.0010172
                     24,                 1.6103,                 1.3055,                 1.6488,                0.71244,                0.38021,                0.41177,                0.18514,                 1.4937,                 1.2725,                 1.6313,              0.0010484,              0.0010484,              0.0010484
                     25,                 1.6871,                 1.3141,                 1.6855,                0.71707,                0.39953,                0.44279,                0.20109,                 1.4884,                 1.2275,                 1.6358,              0.0010786,              0.0010786,              0.0010786
                     26,                 1.5424,                 1.2484,                 1.6746,                  0.762,                0.36893,                0.44098,                0.19157,                 1.5345,                 1.2295,                 1.6926,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.5699,                 1.2728,                 1.6921,                0.68378,                0.43769,                0.44661,                 0.1992,                 1.6178,                 1.2573,                 1.7789,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.5452,                 1.2158,                 1.6525,                0.70133,                 0.4375,                 0.4554,                0.20409,                 1.6027,                 1.2948,                 1.7813,               0.001047,               0.001047,               0.001047
                     29,                 1.6409,                 1.2833,                 1.7382,                0.67795,                0.50664,                0.46235,                0.21586,                 1.4927,                   1.27,                 1.6845,              0.0010329,              0.0010329,              0.0010329
                     30,                 1.5612,                 1.1617,                 1.6324,                0.69918,                0.47051,                0.45515,                0.22867,                 1.4369,                 1.2257,                 1.6329,              0.0010187,              0.0010187,              0.0010187
                     31,                 1.5466,                 1.2201,                 1.6137,                0.72758,                 0.4306,                 0.4881,                0.25341,                 1.4221,                 1.1806,                 1.6218,              0.0010046,              0.0010046,              0.0010046
                     32,                 1.6162,                 1.3539,                 1.7708,                 0.7723,                0.43213,                0.52204,                0.27174,                 1.4127,                 1.1103,                 1.5997,             0.00099044,             0.00099044,             0.00099044
                     33,                 1.5302,                 1.1594,                 1.7047,                0.77189,                0.45362,                0.57816,                 0.2582,                 1.4595,                 1.0749,                 1.6113,             0.00097629,             0.00097629,             0.00097629
                     34,                 1.6025,                 1.2118,                 1.6342,                0.81196,                0.45425,                0.60994,                0.25428,                 1.4933,                  1.071,                 1.6389,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.5408,                 1.1941,                 1.6071,                0.81233,                0.46311,                0.60775,                0.25677,                  1.464,                 1.0636,                 1.6313,               0.000948,               0.000948,               0.000948
                     36,                 1.5588,                 1.1745,                 1.5998,                0.79144,                0.43823,                0.59129,                0.26822,                 1.4166,                 1.0543,                 1.6132,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.5635,                 1.2049,                 1.7519,                0.76558,                0.44025,                0.58451,                0.27258,                 1.4058,                 1.0511,                  1.612,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.5337,                  1.163,                 1.6501,                0.76667,                0.46576,                0.58391,                0.26508,                  1.422,                 1.0569,                 1.6136,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.4867,                 1.1691,                  1.618,                0.75789,                  0.493,                0.58767,                0.28271,                 1.4344,                 1.0594,                 1.6146,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.5801,                 1.2462,                 1.8197,                0.76232,                0.51032,                 0.6054,                0.29665,                 1.4236,                  1.051,                 1.6087,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.5268,                 1.1475,                 1.6103,                0.76464,                0.49393,                0.54923,                0.29629,                 1.3904,                 1.0347,                  1.598,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.4861,                 1.1308,                 1.6626,                0.78335,                 0.4988,                0.54334,                0.29402,                 1.3703,                 1.0208,                 1.6087,             0.00084897,             0.00084897,             0.00084897
                     43,                  1.472,                 1.0679,                 1.5971,                0.79657,                0.48238,                0.59628,                0.30843,                 1.4123,                 1.0273,                 1.6688,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.5426,                 1.1151,                 1.5746,                0.79158,                0.50906,                 0.5933,                0.28697,                 1.5051,                 1.0503,                 1.7557,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.5217,                 1.1992,                 1.7224,                0.55034,                0.66992,                0.60063,                0.29094,                 1.5197,                 1.0606,                 1.7665,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.4633,                 1.0737,                 1.5902,                0.66085,                 0.6583,                0.62258,                0.30984,                 1.4333,                 1.0428,                 1.6831,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.4875,                 1.1161,                 1.6377,                0.75995,                0.62309,                0.63706,                0.32404,                 1.3541,                 1.0131,                 1.6011,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.4417,                 1.0683,                 1.5846,                0.77766,                 0.6199,                0.64241,                0.33203,                 1.3349,                0.99956,                 1.5682,             0.00076409,             0.00076409,             0.00076409
                     49,                 1.5438,                 1.0529,                 1.5587,                0.78159,                0.60387,                0.63235,                 0.3285,                  1.335,                 1.0111,                 1.5658,             0.00074994,             0.00074994,             0.00074994
